#     lmwl      nmBband
#
  3.776196   1.000000 
  3.776252   1.000000 
  3.776308   1.000000 
  3.776363   1.000000 
  3.776419   1.000000 
  3.776474   1.000000 
  3.776529   1.000000 
  3.776585   1.000000 
  3.776640   1.000000 
  3.776695   1.000000 
  3.776751   1.000000 
  3.776806   1.000000 
  3.776862   1.000000 
  3.776917   1.000000 
  3.776973   1.000000 
  3.777028   1.000000 
  3.777083   1.000000 
  3.777139   1.000000 
  3.777194   1.000000 
  3.777250   1.000000 
  3.777305   1.000000 
  3.777360   1.000000 
  3.777416   1.000000 
  3.777471   1.000000 
  3.777527   1.000000 
  3.777582   1.000000 
  3.777637   1.000000 
  3.777693   1.000000 
  3.777748   1.000000 
  3.777804   1.000000 
  3.777859   1.000000 
  3.777915   1.000000 
  3.777970   1.000000 
  3.778025   1.000000 
  3.778081   1.000000 
  3.778136   1.000000 
  3.778191   1.000000 
  3.778247   1.000000 
  3.778302   1.000000 
  3.778358   1.000000 
  3.778413   1.000000 
  3.778469   1.000000 
  3.778524   1.000000 
  3.778579   1.000000 
  3.778635   1.000000 
  3.778690   1.000000 
  3.778746   1.000000 
  3.778801   1.000000 
  3.778856   1.000000 
  3.778912   1.000000 
  3.778967   1.000000 
  3.779023   1.000000 
  3.779078   1.000000 
  3.779134   1.000000 
  3.779189   1.000000 
  3.779244   1.000000 
  3.779300   1.000000 
  3.779355   1.000000 
  3.779411   1.000000 
  3.779466   1.000000 
  3.779521   1.000000 
  3.779577   1.000000 
  3.779632   1.000000 
  3.779688   1.000000 
  3.779743   1.000000 
  3.779798   1.000000 
  3.779854   1.000000 
  3.779909   1.000000 
  3.779965   1.000000 
  3.780020   1.000000 
  3.780076   1.000000 
  3.780131   1.000000 
  3.780186   1.000000 
  3.780242   1.000000 
  3.780297   1.000000 
  3.780352   1.000000 
  3.780408   1.000000 
  3.780463   1.000000 
  3.780519   1.000000 
  3.780574   1.000000 
  3.780630   1.000000 
  3.780685   1.000000 
  3.780740   1.000000 
  3.780796   1.000000 
  3.780851   1.000000 
  3.780906   1.000000 
  3.780962   1.000000 
  3.781017   1.000000 
  3.781073   1.000000 
  3.781128   1.000000 
  3.781183   1.000000 
  3.781239   1.000000 
  3.781294   1.000000 
  3.781350   1.000000 
  3.781405   1.000000 
  3.781461   1.000000 
  3.781516   1.000000 
  3.781571   1.000000 
  3.781627   1.000000 
  3.781682   1.000000 
  3.781738   1.000000 
  3.781793   1.000000 
  3.781848   1.000000 
  3.781904   1.000000 
  3.781959   1.000000 
  3.782015   1.000000 
  3.782070   1.000000 
  3.782125   1.000000 
  3.782181   1.000000 
  3.782236   1.000000 
  3.782292   1.000000 
  3.782347   1.000000 
  3.782403   1.000000 
  3.782458   1.000000 
  3.782513   1.000000 
  3.782569   1.000000 
  3.782624   1.000000 
  3.782680   1.000000 
  3.782735   1.000000 
  3.782790   1.000000 
  3.782846   1.000000 
  3.782901   1.000000 
  3.782957   1.000000 
  3.783012   1.000000 
  3.783067   1.000000 
  3.783123   1.000000 
  3.783178   1.000000 
  3.783234   1.000000 
  3.783289   1.000000 
  3.783345   1.000000 
  3.783400   1.000000 
  3.783455   1.000000 
  3.783511   1.000000 
  3.783566   1.000000 
  3.783622   1.000000 
  3.783677   1.000000 
  3.783732   1.000000 
  3.783788   1.000000 
  3.783843   1.000000 
  3.783898   1.000000 
  3.783954   1.000000 
  3.784009   1.000000 
  3.784065   1.000000 
  3.784120   1.000000 
  3.784175   1.000000 
  3.784231   1.000000 
  3.784286   1.000000 
  3.784342   1.000000 
  3.784397   1.000000 
  3.784453   1.000000 
  3.784508   1.000000 
  3.784564   1.000000 
  3.784619   1.000000 
  3.784674   1.000000 
  3.784730   1.000000 
  3.784785   1.000000 
  3.784840   1.000000 
  3.784895   1.000000 
  3.784951   1.000000 
  3.785007   1.000000 
  3.785062   1.000000 
  3.785117   1.000000 
  3.785173   1.000000 
  3.785228   1.000000 
  3.785284   1.000000 
  3.785339   1.000000 
  3.785394   1.000000 
  3.785450   1.000000 
  3.785505   1.000000 
  3.785561   1.000000 
  3.785616   1.000000 
  3.785672   1.000000 
  3.785727   1.000000 
  3.785783   1.000000 
  3.785838   1.000000 
  3.785893   1.000000 
